review_text,date,rating
Please  stop the madness Googler People!. It's APS like this that make it very simple for lazy people to highjack your account info. Also  you can't uninstall. It's like a relative that comes to visit. Once this nightmare shows up on your couch you can't get rid of it.,November 06 2016,1
Junk I said it!!!,November 06 2016,1
Love it Works good,November 06 2016,5
Awesome,November 06 2016,5
Yuk,November 06 2016,2
Golu Harshana,November 06 2016,5
Kaka Hoho,November 06 2016,3
Mr Ali Varış Excellent app,November 06 2016,5
Talkback Never use it or need it.,November 06 2016,1
Perf,November 06 2016,5
Driving me off the wall! Why on earth is this app imposed to be displayed? It should have an option to be hidden and only to be updated on-demand. It's really bugging!,November 06 2016,1
waste of space waste of space,November 06 2016,5
My blind wife tried this and didn't find it nearly as useful as ios voiceover. She would otherwise love to switch to Android.,November 06 2016,2
Natali KAxurazvili,November 06 2016,5
bju hihgfn,November 06 2016,5
Cannot actually do anything.. also no demo available.. also phone gets hanged..,November 06 2016,1
My info Myshyt,November 06 2016,5
It strucks the mobile.do not download at all.waste app from Google.,November 06 2016,1
google Excellent,November 06 2016,5
Fh Vj,November 06 2016,1
Improvements needed 1. It needs to recognise when something else is talking! If the Google App is reading out a search result  TalkBack should not read out the same text simultaneously but at a slightly different speed! It should talk only when it has exclusive use of the audio. 2. Whose bright idea was it to change the default gestures? Unless you know the new gestures  you can't navigate to the setting to restore your old preferences! Needs a pop screen asking if you want new defaults or not.,November 06 2016,3
S Vg,November 06 2016,5
T Y,November 06 2016,5
It wirks poerfect Yay,November 06 2016,5
Good,November 06 2016,5
Abdulhafeez,November 05 2016,5
Viruses and malware Too many pop ups adverts crushed my phone with viruses,November 05 2016,1
Useless for me I'm sure it's priceless for impaired hearing. But it came with tablet so waste of space😵,November 05 2016,1
Suka,November 05 2016,5
Woooow 5star,November 05 2016,5
Loved it 👍 👏 👏 it's very cool 😎 because it hears very correctly,November 05 2016,5
samsung internet web browser... talkback not accessibil in samsung internet browser. meny apps like samsung mail  gmail  yahoomail  k9mail  wifi  snaptube  vidmet  tubemat  used samsung internet tipe web content. so make talkback accessibil talkback for sansung internet.,November 05 2016,4
Google Talk back,November 05 2016,5
Sagar love,November 05 2016,5
Slash chatterjee india Good app,November 05 2016,4
Zahid Ansari Nice,November 05 2016,4
K,November 05 2016,5
a google user loved it,November 05 2016,5
Great!!!!!,November 05 2016,5
Poop Waste of mb,November 05 2016,1
Bloat wear,November 05 2016,1
It repeated the same thing over and over  could not get it to stop. Obvious bug. PLEASE invent a telephone handset for cellphones  cannot understand people on the cell. Can plug into cell and maybe a bluetooth program (better). Bluetooth speakers work bi-directionally so a handset also could. You will sell a LOT of them as a LOT of people also have this problem.,November 05 2016,1
Good Better,November 05 2016,4
Good,November 05 2016,5
Bamas Roll tide,November 05 2016,5
Best of best,November 05 2016,5
Faltu,November 05 2016,1
Nice to Play,November 05 2016,5
i like it,November 05 2016,5
good for the blind  not at all for those who are not it is surely a good app with impaired vision but it is a mess. you will have to double click everything and unlocking in my device becomes a huge mess.,November 05 2016,1
"G7"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Hkkk""""",November 05 2016,5
Talkback It was too much into things. Loud and constant. After 10 minutes of use it was gone. Would like if only talked when you asked for info or when needs arise,November 05 2016,2
Worst app ever Don't take risk by installing this app,November 05 2016,1
Pun Loeu,November 05 2016,5
It is save my time I loved it.it is nice thanks to app maker,November 05 2016,5
Myanmar Country Contains ads,November 05 2016,5
Thanks,November 05 2016,5
Bed very bed Once u activate talk back you can not de activate.,November 05 2016,1
Like this App Easy to used and understand you.,November 05 2016,5
K D,November 05 2016,5
Zora,November 05 2016,4
Horrible!!,November 05 2016,1
☺ It works,November 05 2016,3
Worst app 0 start but there is no option 😬,November 05 2016,1
Disgasting,November 05 2016,1
Very bad app my phone was just vibrating & was get hang,November 05 2016,1
Great,November 05 2016,2
From Joy Marie Hasley,November 05 2016,3
I like it Samsung,November 05 2016,3
Google talkback Better,November 05 2016,5
Loved,November 04 2016,5
Thulani Blessing lov,November 04 2016,5
Shankar pokhrel Shankar pokhrel,November 04 2016,1
Bad Not working well,November 04 2016,1
Huq Jojo,November 04 2016,5
Vy Grs,November 04 2016,5
Idk,November 04 2016,5
Mr Etyang Good,November 04 2016,5
Its okay Okay,November 04 2016,5
It is good Or is good because it east to use,November 04 2016,5
Great improvement over last version For those that say that TalkBack is annoying  and should not be installed on devices  think how you would feel if the rest of the world could access all this wonderful technology that we have  but you could not. On Android  TalkBack is an essential app for a blind person to navigate the mobile world. TalkBack works very well for me  and I use it everyday. The only thing that I would ask Google  is please better trained your support technicians on the use of TalkBack.,November 04 2016,4
Google talk back Thanks for fixing the app Google!,November 04 2016,4
